m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,32,1024,128,32,731.65,1041.0,670.0
1024,1024,1024,32,1024,128,64,499.7,506.0,489.0
1024,1024,1024,64,32,8,32,0.0,0.0,0.0
1024,1024,1024,64,32,8,64,683.2,1108.0,526.0
1024,1024,1024,64,32,8,128,363.6,401.0,343.0
1024,1024,1024,64,32,8,256,287.15,330.0,271.0
1024,1024,1024,64,32,16,32,1244.35,1550.0,921.0
1024,1024,1024,64,32,16,64,536.2,553.0,520.0
1024,1024,1024,64,32,16,128,357.45,361.0,351.0
1024,1024,1024,64,32,16,256,266.4,301.0,249.0
1024,1024,1024,64,32,32,32,1087.7,1542.0,882.0
1024,1024,1024,64,32,32,64,520.4,533.0,503.0
1024,1024,1024,64,32,32,128,344.2,349.0,328.0
1024,1024,1024,64,64,8,32,0.0,0.0,0.0
1024,1024,1024,64,64,8,64,418.2,757.0,388.0
1024,1024,1024,64,64,8,128,272.1,279.0,262.0
1024,1024,1024,64,64,8,256,222.2,230.0,204.0
1024,1024,1024,64,64,16,32,1038.85,1368.0,679.0
1024,1024,1024,64,64,16,64,407.75,510.0,388.0
1024,1024,1024,64,64,16,128,324.7,909.0,281.0
1024,1024,1024,64,64,16,256,281.2,288.0,264.0
1024,1024,1024,64,64,32,32,977.4,1264.0,661.0
1024,1024,1024,64,64,32,64,0.0,0.0,0.0
1024,1024,1024,64,64,32,128,251.05,254.0,238.0
1024,1024,1024,64,64,64,32,629.25,648.0,624.0
1024,1024,1024,64,64,64,64,397.45,404.0,369.0
1024,1024,1024,64,128,8,32,916.35,1334.0,646.0
1024,1024,1024,64,128,8,64,372.85,378.0,361.0
1024,1024,1024,64,128,8,128,260.1,269.0,250.0
1024,1024,1024,64,128,8,256,242.3,336.0,217.0
1024,1024,1024,64,128,16,32,655.8,669.0,638.0
1024,1024,1024,64,128,16,64,422.25,748.0,394.0
1024,1024,1024,64,128,16,128,281.65,284.0,278.0
1024,1024,1024,64,128,16,256,275.2,289.0,263.0
1024,1024,1024,64,128,32,32,652.25,660.0,636.0
1024,1024,1024,64,128,32,64,400.6,413.0,392.0
1024,1024,1024,64,128,32,128,281.05,285.0,267.0
1024,1024,1024,64,128,64,32,1063.95,1351.0,647.0
1024,1024,1024,64,128,64,64,409.4,675.0,376.0
1024,1024,1024,64,128,128,32,651.95,681.0,636.0
