GOPs	GOP/s	M	K	N
0.033554432	98.98	256	256	256
0.067108864	293.05	256	512	256
0.134217728	333.05	1024	256	256
0.268435456	556.92	1024	256	512
0.536870912	739.49	256	2048	512
1.073741824	1057.87	512	256	4096
2.147483648	1224.34	1024	1024	1024
4.294967296	1400.84	256	4096	2048
8.589934592	1491.83	4096	256	4096
17.17986918	1529.82	4096	1024	2048
34.35973837	1565.51	4096	4096	1024
68.71947674	1580.01	4096	4096	2048
137.4389535	1590.84	4096	4096	4096
