GOPs	GOP/s	M	K	N
0.033554432	126.0880734	256	256	256
0.067108864	338.200888	256	256	512
0.134217728	531.9092624	256	256	1024
0.268435456	773.448786	256	512	1024
0.536870912	1073.348978	256	512	2048
1.073741824	1181.247125	512	512	2048
2.147483648	990.9435368	512	512	4096
4.294967296 1144.653082 256	2048	4096
8.589934592	1383.502945	256	4096	4096
17.17986918	1456.167925	512	4096	4096
34.35973837	1524.443564	1024	4096	4096
68.71947674	1551.250733	2048	4096	4096
137.4389535	1569.097242	4096	4096	4096
