GOPs	GOP/s	M	K	N
0.033554432	200.92	256	256	256
0.067108864	296.94	512	256	256
0.134217728	516.22	256	256	1024
0.268435456	880.12	512	256	1024
0.536870912	1174.77	256	256	4096
1.073741824	1403.58	256	2048	1024
2.147483648	1515.51	2048	1024	512
4.294967296	1782.88	1024	4096	512
8.589934592	1924.27	1024	2048	2048
17.17986918	2008.87	4096	4096	512
34.35973837	2053.17	1024	4096	4096
68.71947674	2078.13	2048	4096	4096
137.4389535	2080.23	4096	4096	4096
