GOPs	GOP/s	M	K	N
0.033554432	109.298	256	256	256
0.067108864	342.392	512	256	256
0.134217728	583.555	512	512	256
0.268435456	945.195	512	1024	256
0.536870912	943.534	256	4096	256
1.073741824	1260.26	512	4096	256
2.147483648	1518.73	512	4096	512
4.294967296	1754.48	1024	4096	512
8.589934592	1906.33	1024	4096	1024
17.17986918	1944.52	2048	4096	1024
34.35973837	1991.87	4096	4096	1024
68.71947674	1944.63	4096	2048	4096
137.4389535	1976.23	4096	4096	4096
