GOPs	GOP/s	M	K	N
0.067108864	249.48	256	256	512
0.134217728	639.13	256	256	1024
0.268435456	1147.16	512	512	512
0.536870912	1398.1	2048	256	512
1.073741824	2101.26	512	256	4096
2.147483648	2913.82	256	2048	2048
4.294967296	3517.58	2048	1024	1024
8.589934592	4576.42	4096	256	4096
17.17986918	4604.63	2048	1024	4096
34.35973837	4818.36	4096	1024	4096
68.71947674	4949.19	4096	4096	2048
137.4389535	4962.05	4096	4096	4096
