GOPs	GOP/s	M	K	N
0.067108864	353.205	256	256	512
0.134217728	645.278	512	256	512
0.268435456	1104.67	512	512	512
0.536870912	1269.2	256	2048	512
1.073741824	2018.31	256	4096	512
2.147483648	2803.5	512	2048	1024
4.294967296	3514.7	1024	4096	512
8.589934592	3940.34	512	4096	2048
17.17986918	4532.95	1024	4096	2048
34.35973837	4839.4	2048	4096	2048
68.71947674	4826.48	4096	4096	2048
137.4389535	4798.01	4096	4096	4096
