m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,32,1024,32,32,7308.45,7761.0,7162.0
1024,1024,1024,32,1024,32,64,6537.95,6848.0,6418.0
1024,1024,1024,32,1024,32,128,6228.9,6881.0,6087.0
1024,1024,1024,32,1024,32,256,6478.8,6692.0,6355.0
1024,1024,1024,32,1024,64,32,6764.65,7387.0,6401.0
1024,1024,1024,32,1024,64,64,6548.35,6923.0,6323.0
1024,1024,1024,32,1024,64,128,6282.5,6725.0,6118.0
1024,1024,1024,32,1024,128,32,6809.6,7236.0,6550.0
1024,1024,1024,32,1024,128,64,6567.05,6879.0,6317.0
1024,1024,1024,64,32,8,32,6088.35,6369.0,5873.0
1024,1024,1024,64,32,8,64,5951.95,6170.0,5651.0
1024,1024,1024,64,32,8,128,5640.15,5845.0,5357.0
1024,1024,1024,64,32,8,256,0.0,0.0,0.0
1024,1024,1024,64,32,16,32,4900.3,5345.0,4493.0
1024,1024,1024,64,32,16,64,4568.2,5180.0,4261.0
1024,1024,1024,64,32,16,128,4489.25,4904.0,4091.0
1024,1024,1024,64,32,16,256,4398.4,4634.0,4063.0
1024,1024,1024,64,32,32,32,6442.75,7041.0,6133.0
1024,1024,1024,64,32,32,64,6406.2,6632.0,6097.0
1024,1024,1024,64,32,32,128,6358.05,6585.0,6097.0
1024,1024,1024,64,64,8,32,6155.7,6645.0,5868.0
1024,1024,1024,64,64,8,64,5679.3,5955.0,5626.0
1024,1024,1024,64,64,8,128,5785.4,5977.0,5421.0
1024,1024,1024,64,64,8,256,5521.5,5964.0,5322.0
1024,1024,1024,64,64,16,32,4431.1,4449.0,4424.0
1024,1024,1024,64,64,16,64,4530.65,5097.0,4294.0
1024,1024,1024,64,64,16,128,4337.85,4721.0,4102.0
1024,1024,1024,64,64,16,256,4351.5,4828.0,4092.0
1024,1024,1024,64,64,32,32,6314.3,6666.0,6127.0
1024,1024,1024,64,64,32,64,6299.85,6466.0,6083.0
1024,1024,1024,64,64,32,128,6344.5,6521.0,6000.0
1024,1024,1024,64,64,64,32,6501.25,6689.0,6201.0
1024,1024,1024,64,64,64,64,6466.65,6649.0,6257.0
1024,1024,1024,64,128,8,32,5985.4,6292.0,5771.0
1024,1024,1024,64,128,8,64,5686.45,6045.0,5583.0
1024,1024,1024,64,128,8,128,5599.1,6245.0,5430.0
1024,1024,1024,64,128,8,256,5405.35,5723.0,5335.0
1024,1024,1024,64,128,16,32,4655.1,5011.0,4464.0
