m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,latency avg,latency max,latency min
1024,1024,1024,16,256,64,32,0.0,0.0,0.0
1024,1024,1024,16,256,64,64,6519.55,6804.0,6425.0
1024,1024,1024,16,256,64,128,6340.75,6514.0,6193.0
1024,1024,1024,16,256,128,16,7318.5,7720.0,6715.0
1024,1024,1024,16,256,128,32,6937.05,7412.0,6498.0
1024,1024,1024,16,256,128,64,6515.35,6759.0,6309.0
1024,1024,1024,16,256,256,16,7613.45,8143.0,6987.0
1024,1024,1024,16,256,256,32,6793.75,7253.0,6422.0
1024,1024,1024,16,512,8,16,6853.05,7301.0,5627.0
1024,1024,1024,16,512,8,32,0.0,0.0,0.0
1024,1024,1024,16,512,8,64,6277.25,6550.0,6063.0
1024,1024,1024,16,512,8,128,5897.5,6171.0,5593.0
1024,1024,1024,16,512,8,256,5746.4,6006.0,5515.0
1024,1024,1024,16,512,16,16,4587.4,5842.0,4096.0
1024,1024,1024,16,512,16,32,5648.6,5936.0,5206.0
1024,1024,1024,16,512,16,64,4787.35,5415.0,4421.0
1024,1024,1024,16,512,16,128,4526.7,4823.0,4247.0
1024,1024,1024,16,512,16,256,4580.3,4862.0,4522.0
1024,1024,1024,16,512,32,16,7057.8,7913.0,6924.0
1024,1024,1024,16,512,32,32,6596.8,7004.0,6449.0
1024,1024,1024,16,512,32,64,6193.8,6223.0,6171.0
1024,1024,1024,16,512,32,128,6474.4,6691.0,6212.0
1024,1024,1024,16,512,32,256,6495.25,6839.0,6212.0
1024,1024,1024,16,512,64,16,7398.6,7968.0,6814.0
1024,1024,1024,16,512,64,32,6992.85,7393.0,6681.0
1024,1024,1024,16,512,64,64,6642.75,6947.0,6308.0
1024,1024,1024,16,512,64,128,6553.35,6825.0,6258.0
1024,1024,1024,16,512,128,16,7845.65,8120.0,7450.0
1024,1024,1024,16,512,128,32,7243.15,7598.0,7029.0
1024,1024,1024,16,512,128,64,6585.05,6978.0,6284.0
1024,1024,1024,16,512,256,16,7632.2,7883.0,6963.0
1024,1024,1024,16,512,256,32,7112.75,7381.0,6971.0
1024,1024,1024,16,1024,8,16,8903.25,9836.0,6955.0
